strikePrice,expiryDate,CE_OI,PE_OI,CE_TotVol,PE_TotVol
12000,25-Jun-2026,0.0,4.333333333333333,0,0
12000,31-Dec-2026,0.0,13.666666666666666,0,0
13000,24-Dec-2025,0.0,92.66666666666667,0,0
13000,25-Jun-2026,0.0,2.6666666666666665,0,0
13000,31-Dec-2026,0.0,27.0,0,0
14000,25-Jun-2026,0.0,16.333333333333332,0,0
14000,31-Dec-2026,0.0,28.666666666666668,0,0
15000,24-Dec-2025,0.0,78.66666666666667,0,0
15000,25-Jun-2026,0.0,13.333333333333334,0,0
15000,31-Dec-2026,0.0,18.666666666666668,0,0
15000,30-Dec-2027,0.0,6.333333333333333,0,0
16000,24-Dec-2025,0.0,76.33333333333333,0,3
16000,25-Jun-2026,0.0,30.333333333333332,0,0
16000,31-Dec-2026,0.0,32.333333333333336,0,0
16500,24-Dec-2025,0.0,41.0,0,0
17000,25-Sep-2025,2262.0,583.0,0,7
17000,24-Dec-2025,9.333333333333334,560.6666666666666,0,0
17000,31-Dec-2026,0.0,38.0,0,0
17000,30-Dec-2027,0.0,189.33333333333334,0,0
18000,25-Sep-2025,255.0,325.0,0,4
18000,24-Dec-2025,275.0,1421.0,6,34
18000,31-Dec-2026,0.0,79.33333333333333,0,0
18000,24-Jun-2027,0.0,0.3333333333333333,0,0
18000,30-Dec-2027,0.0,162.66666666666666,0,0
18000,28-Dec-2028,0.0,1.0,0,0
19000,25-Sep-2025,50.0,2145.0,0,29
19000,24-Dec-2025,98.66666666666667,2075.6666666666665,0,13
19000,25-Jun-2026,0.0,3.3333333333333335,0,0
19000,31-Dec-2026,0.0,23.0,0,3
19000,24-Jun-2027,0.0,8.0,0,0
19000,30-Dec-2027,0.0,7.0,0,0
19500,24-Dec-2025,15.333333333333334,0.0,0,0
20000,25-Sep-2025,1422.0,6657.0,21,34
20000,24-Dec-2025,2589.6666666666665,9918.0,3,181
20000,26-Mar-2026,0.0,0.0,0,0
20000,25-Jun-2026,0.0,0.0,0,0
20000,31-Dec-2026,0.0,164.33333333333334,0,0
20000,24-Jun-2027,0.0,0.0,0,0
20000,30-Dec-2027,0.0,52.666666666666664,0,0
20000,29-Jun-2028,0.0,0.0,0,0
20000,28-Dec-2028,0.0,14.666666666666666,0,0
20000,28-Jun-2029,0.0,0.0,0,0
20000,27-Dec-2029,0.0,0.0,0,0
20000,25-Jun-2030,0.0,0.0,0,0
21000,25-Sep-2025,5684.0,9812.0,0,348
21000,24-Dec-2025,2361.3333333333335,10942.333333333334,51,408
21000,26-Mar-2026,0.0,79.0,0,18
21000,25-Jun-2026,0.0,4711.0,0,0
21000,31-Dec-2026,0.0,132.0,0,8
21000,24-Jun-2027,0.0,4.666666666666667,0,0
21000,30-Dec-2027,0.0,5.666666666666667,0,0
21000,29-Jun-2028,0.0,0.0,0,0
21000,28-Dec-2028,0.0,16.666666666666668,0,0
21000,28-Jun-2029,0.0,0.0,0,0
21000,27-Dec-2029,0.0,0.0,0,0
21000,25-Jun-2030,0.0,0.0,0,0
22000,25-Sep-2025,2221.0,20105.0,11,836
22000,24-Dec-2025,5967.666666666667,17801.0,13,680
22000,26-Mar-2026,0.0,0.0,0,0
22000,25-Jun-2026,0.0,33.0,0,0
22000,31-Dec-2026,7.0,201.66666666666666,0,29
22000,24-Jun-2027,0.0,0.0,0,0
22000,30-Dec-2027,0.0,3.3333333333333335,0,0
22000,29-Jun-2028,0.0,1.3333333333333333,0,0
22000,28-Dec-2028,0.0,2.0,0,0
22000,28-Jun-2029,0.0,0.0,0,0
22000,27-Dec-2029,0.0,0.0,0,0
22000,25-Jun-2030,0.0,0.0,0,0
22250,31-Jul-2025,277.0,8304.0,0,1771
22300,31-Jul-2025,386.0,9829.0,0,1465
22350,31-Jul-2025,58.0,112.0,0,60
22400,31-Jul-2025,150.0,1387.0,0,771
22450,31-Jul-2025,9.0,121.0,0,81
22500,31-Jul-2025,11129.0,26037.0,85,2888
22550,31-Jul-2025,15.0,111.0,0,95
22600,31-Jul-2025,67.0,477.0,0,1414
22650,31-Jul-2025,14.0,98.0,0,95
22700,31-Jul-2025,44.0,489.0,0,167
22750,31-Jul-2025,18.0,187.0,0,115
22800,31-Jul-2025,113.0,1212.0,0,2731
22800,28-Aug-2025,5.0,2682.0,0,415
22850,31-Jul-2025,15.0,88.0,0,35
22850,28-Aug-2025,1.0,46.0,0,0
22900,31-Jul-2025,52.0,1570.0,0,683
22900,28-Aug-2025,1.0,411.0,0,44
22950,31-Jul-2025,20.0,141.0,0,176
22950,28-Aug-2025,1.0,35.0,0,0
23000,31-Jul-2025,8510.0,28391.0,341,7182
23000,28-Aug-2025,989.0,10023.0,326,3319
23000,25-Sep-2025,3468.0,19063.0,71,4249
23000,24-Dec-2025,6044.666666666667,22581.333333333332,28,1703
23000,26-Mar-2026,0.0,166.0,0,25
23000,25-Jun-2026,0.0,162.33333333333334,0,0
23000,31-Dec-2026,64.0,285.6666666666667,0,32
23000,24-Jun-2027,0.0,0.0,0,0
23000,30-Dec-2027,0.0,27.0,0,0
23000,29-Jun-2028,0.0,0.0,0,0
23000,28-Dec-2028,0.0,39.0,0,0
23000,28-Jun-2029,0.0,0.0,0,0
23000,27-Dec-2029,0.0,25.0,0,0
23000,25-Jun-2030,0.0,0.0,0,0
23050,24-Jul-2025,6.0,65488.0,1,95014
23050,31-Jul-2025,19.0,216.0,0,222
23050,28-Aug-2025,1.0,61.0,0,1
23100,24-Jul-2025,123.0,41027.0,5,46206
23100,31-Jul-2025,105.0,1374.0,0,1209
23100,28-Aug-2025,1.0,262.0,0,5
23150,24-Jul-2025,2.0,3482.0,0,5292
23150,31-Jul-2025,19.0,239.0,0,234
23150,28-Aug-2025,3.0,30.0,0,0
23200,24-Jul-2025,4.0,5512.0,0,9022
23200,31-Jul-2025,530.0,2075.0,2,1942
