strikePrice,expiryDate,CE_OI,PE_OI,CE_TotVol,PE_TotVol
40500,25-Sep-2025,0.0,0.0,0,0
42000,25-Sep-2025,0.0,0.0,0,0
43500,25-Sep-2025,0.0,0.0,0,0
43500,24-Dec-2025,0.0,13.857142857142858,0,0
45000,25-Sep-2025,0.0,0.0,0,0
46000,31-Jul-2025,2030.0,17732.0,22,4647
46500,31-Jul-2025,0.0,691.0,0,1105
46500,25-Sep-2025,5.0,24.0,0,2
47000,31-Jul-2025,248.0,784.0,2,858
47500,31-Jul-2025,1.0,280.0,0,410
48000,31-Jul-2025,407.0,4064.0,4,2083
48000,28-Aug-2025,25.0,516.0,10,56
48000,25-Sep-2025,157.71428571428572,2089.714285714286,11,63
48500,31-Jul-2025,34.0,1311.0,1,616
48500,28-Aug-2025,0.0,40.0,0,8
48600,31-Jul-2025,0.0,80.0,0,29
48700,31-Jul-2025,0.0,99.0,0,40
48800,31-Jul-2025,0.0,164.0,0,447
48900,31-Jul-2025,0.0,90.0,0,98
49000,31-Jul-2025,962.0,3043.0,19,1030
49000,28-Aug-2025,1.0,997.0,1,75
49000,25-Sep-2025,0.0,0.0,0,0
49100,31-Jul-2025,0.0,116.0,0,11
49200,31-Jul-2025,0.0,73.0,0,28
49300,31-Jul-2025,0.0,35.0,0,3
49400,31-Jul-2025,0.0,59.0,0,5
49500,31-Jul-2025,158.0,1239.0,5,528
49500,28-Aug-2025,0.0,105.0,0,6
49500,25-Sep-2025,0.14285714285714285,1706.4285714285713,0,219
49500,24-Dec-2025,0.0,0.0,0,0
49500,26-Mar-2026,0.0,0.0,0,0
49500,30-Jun-2026,0.0,0.0,0,0
49600,31-Jul-2025,0.0,144.0,0,57
49700,31-Jul-2025,0.0,43.0,0,52
49800,31-Jul-2025,0.0,41.0,0,27
49900,31-Jul-2025,0.0,48.0,0,0
50000,31-Jul-2025,3151.0,7048.0,38,4294
50000,28-Aug-2025,397.0,1441.0,64,304
50000,25-Sep-2025,101.0,531.0,13,60
50100,31-Jul-2025,0.0,59.0,0,10
50200,31-Jul-2025,1.0,145.0,0,41
50300,31-Jul-2025,1.0,39.0,0,5
50400,31-Jul-2025,10.0,1984.0,0,167
50500,31-Jul-2025,205.0,1572.0,9,1277
50500,28-Aug-2025,10.0,156.0,0,244
50500,25-Sep-2025,0.0,0.0,0,0
50600,31-Jul-2025,2.0,85.0,0,28
50600,28-Aug-2025,0.0,1.0,0,0
50700,31-Jul-2025,10.0,114.0,0,24
50700,28-Aug-2025,0.0,1.0,0,0
50800,31-Jul-2025,9.0,528.0,0,292
50800,28-Aug-2025,0.0,0.0,0,0
50900,31-Jul-2025,9.0,170.0,0,287
50900,28-Aug-2025,0.0,1.0,0,0
51000,31-Jul-2025,1952.0,7153.0,15,4153
51000,28-Aug-2025,69.0,2638.0,12,388
51000,25-Sep-2025,44.142857142857146,1972.2857142857142,3,32
51000,24-Dec-2025,71.85714285714286,498.42857142857144,0,76
51000,26-Mar-2026,0.0,0.0,0,0
51000,30-Jun-2026,0.0,0.0,0,0
